# blastp
# Iteration: 0
# Query: P71814 1-247
# RID: E1F5YMHU013
# Database: nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives
# 100 hits found
P71814	WP_003403867.1	100.000	247	0	0	1	247	1	247	2.55e-178	496	100.00
P71814	5ED4_A	100.000	247	0	0	1	247	4	250	3.96e-178	495	100.00
P71814	WP_071492550.1	99.595	247	1	0	1	247	1	247	6.08e-178	494	100.00
P71814	WP_049956443.1	99.595	247	1	0	1	247	1	247	7.99e-178	494	100.00
P71814	WP_052657179.1	99.595	247	1	0	1	247	1	247	7.99e-178	494	100.00
P71814	WP_096873811.1	99.595	247	1	0	1	247	1	247	8.35e-178	494	100.00
P71814	WP_051989415.1	99.595	247	1	0	1	247	1	247	8.54e-178	494	100.00
P71814	WP_057141269.1	99.595	247	1	0	1	247	1	247	9.42e-178	494	100.00
P71814	WP_049951302.1	99.595	247	1	0	1	247	1	247	9.42e-178	494	100.00
P71814	WP_128883939.1	99.595	247	1	0	1	247	1	247	1.27e-177	494	99.60
P71814	WP_050389479.1	99.595	247	1	0	1	247	1	247	1.28e-177	494	99.60
P71814	WP_347958172.1	99.595	247	1	0	1	247	1	247	1.32e-177	494	99.60
P71814	WP_049958449.1	99.595	247	1	0	1	247	1	247	1.32e-177	494	99.60
P71814	WP_049959607.1	99.595	247	1	0	1	247	1	247	1.32e-177	494	99.60
P71814	WP_029404255.1	99.595	247	1	0	1	247	1	247	1.37e-177	494	99.60
P71814	WP_049957128.1	99.595	247	1	0	1	247	1	247	1.61e-177	494	99.60
P71814	WP_072495656.1	99.595	247	1	0	1	247	1	247	1.65e-177	494	99.60
P71814	WP_070896861.1	99.595	247	1	0	1	247	1	247	1.80e-177	493	100.00
P71814	WP_049956613.1	99.595	247	1	0	1	247	1	247	1.82e-177	493	99.60
P71814	AIH46532.1	99.595	247	1	0	1	247	1	247	2.29e-177	493	100.00
P71814	WP_049950802.1	99.595	247	1	0	1	247	1	247	2.34e-177	493	100.00
P71814	WP_024456099.1	99.595	247	1	0	1	247	1	247	2.34e-177	493	99.60
P71814	WP_049950460.1	99.595	247	1	0	1	247	1	247	2.53e-177	493	99.60
P71814	WP_057124871.1	99.595	247	1	0	1	247	1	247	2.53e-177	493	99.60
P71814	WP_049958239.1	99.595	247	1	0	1	247	1	247	2.73e-177	493	99.60
P71814	WP_116215173.1	99.595	247	1	0	1	247	1	247	2.79e-177	493	99.60
P71814	WP_015456166.1	99.595	247	1	0	1	247	1	247	2.85e-177	493	99.60
P71814	WP_049958652.1	99.595	247	1	0	1	247	1	247	3.12e-177	493	99.60
